symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NRDC,2568,-0.27,0.13,-2,1.35,0.38
UBR7,791,0.46,0.23,2,1.35,0.38
MRTO4,384,0.31,0.15,2,1.35,0.38
CD8A,3888,1.47,0.73,2,1.35,0.38
SHKBP1,1705,-0.46,0.23,-2,1.35,0.38
PRDX3,2308,-0.43,0.22,-2,1.35,0.38
TMTC2,180,-0.73,0.36,-2,1.35,0.38
CMTR2,910,0.4,0.2,2,1.35,0.38
CERKL,1301,-1.08,0.54,-2,1.35,0.38
FCGR2C,280,-2.23,1.11,-2,1.35,0.38
RPL18,19105,0.33,0.16,2,1.34,0.38
AP3D1,1213,-0.32,0.16,-2,1.34,0.38
ARID3A,347,-0.61,0.31,-2,1.34,0.38
ZNF831,605,0.68,0.34,2,1.34,0.38
VPS4A,1047,-0.26,0.13,-2,1.35,0.38
CMPK2,455,-1.07,0.53,-2,1.34,0.38
SCARB2,1770,-0.41,0.21,-2,1.34,0.38
PARVG,2072,-0.5,0.25,-2,1.34,0.38
CPNE8,340,-0.68,0.34,-2,1.34,0.38
IFITM3,2311,-1.17,0.59,-2,1.34,0.38
ARHGAP26,1261,-0.45,0.23,-2,1.34,0.38
MRPL49,908,0.41,0.2,2,1.34,0.38
RPIA,777,0.3,0.15,2,1.35,0.38
ABRAXAS1,689,0.56,0.28,2,1.34,0.38
WDFY3,609,-0.79,0.4,-2,1.34,0.38
PARM1,87,1.03,0.51,2,1.34,0.38
GUSB,919,-0.48,0.24,-2,1.34,0.38
