symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
ZNRF1,104,-0.806,0.3,-2.5,1.9,0.94
ZRANB3,61,0.406,0.3,1.2,0.65,0.33
ZSCAN12,171,0.351,0.3,1.2,0.62,0.32
ZSCAN18,113,-0.301,0.3,-1.1,0.57,0.29
ZSCAN2,90,0.001,0.3,0,0,0
ZSCAN2.AS1,96,-0.431,0.3,-1.4,0.81,0.41
ZSCAN20,38,-0.039,0.3,-0.1,0.05,0.02
ZSCAN5A,63,-0.357,0.3,-1.1,0.55,0.28
ZSWIM3,59,0.063,0.3,0.2,0.07,0.03
ZSWIM4,48,-0.256,0.3,-1,0.48,0.24
ZSWIM6,494,-0.906,0.3,-3,2.64,1.26
ZSWIM8,537,-0.582,0.3,-1.7,1.05,0.54
ZWILCH,227,0.409,0.3,1.6,0.93,0.48
ZWINT,65,0.504,0.3,1.7,1.04,0.53
ZXDA,94,0.084,0.3,0.3,0.12,0.05
ZZEF1,962,-0.754,0.3,-2.8,2.23,1.09
AAAS,373,-0.008,0.2,-0.1,0.02,0.01
AACS,189,-0.088,0.2,-0.5,0.19,0.09
AAMDC,76,-0.279,0.2,-1.2,0.64,0.32
AAR2,632,0.218,0.2,1.3,0.72,0.37
AARS1,875,0.455,0.2,2.2,1.61,0.81
AASDH,270,-0.01,0.2,-0.1,0.02,0.01
AASDHPPT,1040,0.248,0.2,1.4,0.81,0.41
ABAT,229,-0.505,0.2,-2.6,2.04,1.01
ABCB10,580,-0.268,0.2,-1.6,0.96,0.49
ABCB8,211,-0.232,0.2,-1.2,0.64,0.33
ABCC1,964,-0.105,0.2,-0.6,0.28,0.14
ABCC4,379,-0.127,0.2,-0.5,0.23,0.11
ABCD1,320,-0.538,0.2,-2.2,1.55,0.78
ABCD4,337,-0.393,0.2,-1.9,1.26,0.64
ABCE1,1645,0.32,0.2,1.7,1.04,0.53
ABCF1,957,0.114,0.2,0.6,0.28,0.14
ABCF3,596,-0.484,0.2,-2.5,1.86,0.92
ABHD10,672,0.234,0.2,1.5,0.85,0.43
ABHD12,366,-0.029,0.2,-0.2,0.07,0.03
ABHD15,479,0.182,0.2,1.2,0.62,0.32
ABHD16A,509,-0.462,0.2,-2.5,1.89,0.94
ABHD17B,558,0.292,0.2,1.4,0.8,0.41
ABHD2,1971,-0.17,0.2,-0.7,0.34,0.17
ABHD3,611,-0.041,0.2,-0.2,0.08,0.04
ABHD6,191,0.236,0.2,1.1,0.58,0.3
ABHD8,114,-0.206,0.2,-1,0.52,0.26
ABI1,2616,0.268,0.2,1.8,1.1,0.56
ABI2,501,0.088,0.2,0.4,0.15,0.07
ABI3,971,0.127,0.2,0.6,0.26,0.13
ABL1,428,-0.031,0.2,-0.1,0.05,0.02
ABL2,243,-0.208,0.2,-1,0.52,0.26
ABRACL,2092,0.25,0.2,1.4,0.79,0.4
ABRAXAS1,628,0.272,0.2,1.3,0.69,0.35
ABRAXAS2,542,0.183,0.2,1.1,0.57,0.29
ABT1,790,0.346,0.2,2.1,1.49,0.76
ABTB1,956,-0.564,0.2,-2.7,2.22,1.08
ACAA1,1060,-0.279,0.2,-1.5,0.84,0.43
ACACA,227,-0.129,0.2,-0.5,0.22,0.11
