symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
AIP,1375,0.319,0.1,2.4,1.84,0.92
AK2,2718,0.133,0.1,1,0.48,0.24
AKIRIN1,2251,0.098,0.1,0.9,0.43,0.22
AKR7A2,472,0.153,0.1,1,0.52,0.26
ALAD,764,-0.194,0.1,-1.4,0.77,0.39
ALAS1,480,0.125,0.1,0.9,0.43,0.21
ALG12,207,0.047,0.1,0.4,0.14,0.07
ALG13,462,-0.232,0.1,-1.6,0.96,0.49
ALG3,231,-0.213,0.1,-1.8,1.14,0.58
ALKBH5,1667,0.241,0.1,2.5,1.94,0.96
AMMECR1L,403,-0.015,0.1,-0.1,0.05,0.02
ANAPC10,208,0.413,0.1,2.9,2.36,1.15
ANAPC16,3030,0.334,0.1,2.7,2.14,1.05
ANAPC5,1873,-0.026,0.1,-0.2,0.08,0.04
ANAPC7,654,0.018,0.1,0.2,0.06,0.03
ANKHD1,1448,-0.526,0.1,-3.7,3.65,1.73
ANKIB1,778,0.114,0.1,0.9,0.42,0.21
ANKMY2,325,0.391,0.1,2.6,2.08,1.02
ANKRD10,836,-0.163,0.1,-1.2,0.65,0.33
ANKRD11,1006,-0.299,0.1,-2.1,1.49,0.75
ANKRD40,721,0.089,0.1,0.6,0.27,0.13
ANKRD44,2323,-0.163,0.1,-1.3,0.69,0.35
ANKRD54,157,-0.122,0.1,-0.8,0.4,0.2
ANP32A,4738,0.031,0.1,0.2,0.09,0.04
ANP32B,6455,0.157,0.1,1.2,0.66,0.34
ANXA7,2755,0.123,0.1,0.9,0.44,0.22
AP1G1,1248,-0.219,0.1,-1.6,0.98,0.5
AP1M1,1397,0.055,0.1,0.5,0.19,0.09
AP2A2,603,-0.362,0.1,-2.5,1.85,0.92
AP2M1,3273,-0.047,0.1,-0.3,0.14,0.06
AP3S2,685,0.156,0.1,1.2,0.62,0.31
AP4E1,528,-0.197,0.1,-1.7,1.04,0.53
AP5S1,168,0.261,0.1,1.9,1.21,0.62
APBB1IP,2714,0.148,0.1,1.2,0.66,0.34
APEH,1111,0.094,0.1,0.7,0.32,0.16
APEX1,2474,0.198,0.1,1.5,0.89,0.45
APH1A,2758,0.135,0.1,1,0.48,0.25
API5,3318,0.277,0.1,2,1.3,0.66
APIP,503,-0.124,0.1,-0.9,0.42,0.21
APOL3,2521,-0.113,0.1,-0.8,0.35,0.18
APOOL,247,0.147,0.1,1,0.52,0.26
APRT,1272,0.183,0.1,1.4,0.75,0.39
APTX,403,0.035,0.1,0.2,0.09,0.04
AQR,1165,-0.134,0.1,-1.2,0.63,0.32
ARAF,956,-0.226,0.1,-1.8,1.17,0.6
ARCN1,3127,0.145,0.1,1.1,0.56,0.28
ARF6,6091,0.125,0.1,1,0.52,0.26
ARFGAP2,1379,-0.105,0.1,-0.8,0.4,0.2
ARFGAP3,1057,-0.034,0.1,-0.3,0.12,0.05
ARFGEF1,1504,-0.081,0.1,-0.7,0.31,0.15
ARFGEF2,944,-0.01,0.1,-0.1,0.04,0.02
ARFIP2,359,-0.116,0.1,-0.8,0.39,0.2
ARFRP1,435,0.264,0.1,2.1,1.43,0.72
ARHGAP1,1046,-0.258,0.1,-1.9,1.29,0.65
ARHGAP30,7594,-0.114,0.1,-0.9,0.43,0.22
ARHGAP45,3448,-0.26,0.1,-1.8,1.16,0.59
ARHGDIA,4529,0.024,0.1,0.2,0.08,0.04
ARHGDIB,25438,0.145,0.1,1.1,0.58,0.29
ARHGEF2,1948,-0.169,0.1,-1.2,0.66,0.34
ARHGEF6,3421,0.141,0.1,1,0.49,0.25
ARIH1,1345,-0.135,0.1,-1.5,0.85,0.43
ARIH2,1224,0.13,0.1,1,0.49,0.25
ARL2,288,0.348,0.1,2.5,1.89,0.94
ARLN,3369,0.193,0.1,1.7,1.04,0.54
ARMC10,985,0.147,0.1,1,0.51,0.26
ARMC8,868,0.092,0.1,0.9,0.43,0.22
ARNT,1114,-0.089,0.1,-0.6,0.27,0.14
ARPC2,11668,-0.013,0.1,-0.1,0.04,0.02
ARPC5,11775,0.077,0.1,0.5,0.22,0.11
ARV1,329,0.414,0.1,2.9,2.48,1.2
ASB7,592,0.185,0.1,1.4,0.77,0.4
ASCC3,750,-0.203,0.1,-1.5,0.91,0.46
ASH2L,1057,0.383,0.1,3.5,3.39,1.61
ASXL2,1201,0.13,0.1,0.9,0.43,0.21
ATE1,712,0.234,0.1,1.9,1.21,0.62
ATF7,503,-0.249,0.1,-2.2,1.51,0.77
ATG12,1047,0.178,0.1,1.5,0.89,0.45
ATG5,913,0.332,0.1,2.8,2.31,1.13
ATP13A2,402,-0.265,0.1,-2,1.38,0.7
ATP13A3,1389,0.111,0.1,0.8,0.35,0.17
ATP1A1,6291,0.088,0.1,0.6,0.26,0.13
ATP2A2,1667,-0.228,0.1,-1.7,1.02,0.52
ATP2C1,930,0.016,0.1,0.1,0.04,0.02
ATP5F1A,8515,0.108,0.1,0.8,0.36,0.18
ATP5F1B,7004,0.038,0.1,0.3,0.11,0.05
ATP5PB,4418,0.154,0.1,1,0.52,0.26
ATP6V1E1,1992,0.139,0.1,1.1,0.54,0.28
ATP6V1H,519,0.038,0.1,0.3,0.14,0.06
ATPAF1,736,0.36,0.1,2.6,2.03,1
ATRAID,1286,0.276,0.1,2.8,2.24,1.09
ATRX,1572,-0.111,0.1,-0.9,0.43,0.22
ATXN1,814,0.163,0.1,1.2,0.6,0.31
ATXN10,1662,0.133,0.1,1.1,0.6,0.31
ATXN7L3,1385,-0.109,0.1,-1,0.49,0.25
AZI2,1078,-0.201,0.1,-1.6,0.94,0.48
B2M,143747,0.311,0.1,2.2,1.59,0.8
B3GALT4,226,0.148,0.1,1,0.5,0.25
B3GAT3,387,0.159,0.1,1.3,0.75,0.38
BABAM1,1142,0.212,0.1,2.3,1.65,0.83
BABAM2,562,0.196,0.1,1.5,0.91,0.47
BAG6,2181,-0.267,0.1,-2,1.31,0.66
BANF1,1760,0.222,0.1,1.5,0.87,0.45
BAX,804,-0.164,0.1,-1.3,0.73,0.37
BCAP29,609,-0.011,0.1,-0.1,0.03,0.01
BCAP31,2569,0.227,0.1,1.8,1.1,0.56
BCAT2,195,0.174,0.1,1.3,0.72,0.37
BCCIP,893,0.037,0.1,0.3,0.12,0.06
BCL7B,829,0.293,0.1,2.8,2.29,1.12
BCL7C,531,0.207,0.1,1.5,0.87,0.45
BCOR,598,0.161,0.1,1.1,0.57,0.29
BDP1,660,-0.045,0.1,-0.3,0.13,0.06
BECN1,1502,-0.074,0.1,-0.6,0.26,0.13
BIN3,394,0.229,0.1,1.6,1,0.51
BIRC2,1660,0.01,0.1,0.1,0.04,0.02
BIRC6,1702,-0.111,0.1,-0.8,0.35,0.17
BLCAP,1365,0.237,0.1,1.8,1.14,0.58
BLOC1S6,2187,-0.03,0.1,-0.2,0.08,0.04
BOD1,363,0.088,0.1,0.7,0.29,0.14
BPGM,376,0.389,0.1,2.6,2.06,1.02
BPNT2,1547,-0.03,0.1,-0.3,0.1,0.05
BRAF,598,0.124,0.1,1,0.51,0.26
BRAP,501,0.023,0.1,0.2,0.06,0.03
BRCC3,491,0.028,0.1,0.2,0.09,0.04
BRD7,1979,-0.012,0.1,-0.1,0.03,0.01
BRI3BP,696,-0.041,0.1,-0.3,0.11,0.05
BRMS1,730,0.046,0.1,0.4,0.15,0.07
BRWD1,958,0.034,0.1,0.3,0.12,0.06
BSDC1,697,-0.022,0.1,-0.2,0.06,0.03
BSG,3521,0.186,0.1,1.6,0.92,0.47
BTBD1,1535,-0.101,0.1,-0.9,0.42,0.21
BTBD10,415,-0.085,0.1,-0.6,0.25,0.12
BTBD2,703,-0.195,0.1,-1.6,0.93,0.48
BTBD6,407,0.107,0.1,0.7,0.33,0.16
BTBD7,503,-0.215,0.1,-1.6,0.97,0.5
BTF3,11683,0.232,0.1,1.6,0.97,0.5
BTF3L4,1424,-0.065,0.1,-0.5,0.21,0.1
BUD23,688,0.334,0.1,2.6,2,0.99
BZW1,6130,0.255,0.1,2,1.36,0.69
BZW2,811,0.169,0.1,1.2,0.62,0.31
C11orf58,3839,0.223,0.1,2.1,1.41,0.71
C14orf119,1156,0.24,0.1,1.7,1.08,0.55
C18orf32,1367,0.123,0.1,0.8,0.4,0.2
C19orf25,254,0.27,0.1,2.4,1.75,0.87
C19orf53,1108,0.266,0.1,1.9,1.24,0.63
C1GALT1C1,532,0.147,0.1,1.2,0.62,0.32
C1orf174,390,0.028,0.1,0.2,0.08,0.04
C1orf216,277,0.252,0.1,1.8,1.11,0.57
C22orf39,651,0.125,0.1,0.9,0.42,0.21
C2CD5,1020,0.019,0.1,0.1,0.05,0.02
C2orf49,431,0.306,0.1,2.2,1.58,0.79
C3orf38,633,0.16,0.1,1.2,0.62,0.32
C5orf22,460,0.141,0.1,1,0.53,0.27
C6orf120,849,-0.129,0.1,-1.1,0.54,0.27
C6orf47,585,0.177,0.1,1.2,0.67,0.34
C6orf62,5266,0.023,0.1,0.2,0.08,0.04
C9orf85,226,0.104,0.1,0.7,0.34,0.17
CAB39,4176,0.051,0.1,0.5,0.22,0.1
CALR,8745,0.266,0.1,2,1.35,0.68
CAMLG,1150,0.305,0.1,2.2,1.51,0.77
CAND1,1946,0.202,0.1,1.4,0.75,0.39
CANT1,881,0.198,0.1,1.4,0.78,0.4
CANX,12263,0.035,0.1,0.3,0.1,0.04
CAPN2,5283,-0.171,0.1,-1.4,0.82,0.42
CAPN7,603,0.08,0.1,0.6,0.26,0.13
CAPRIN1,3241,-0.028,0.1,-0.3,0.1,0.05
CAPZA1,7389,0.093,0.1,0.6,0.28,0.14
CAPZB,6885,0.027,0.1,0.2,0.07,0.03
CARD8,2052,-0.204,0.1,-1.5,0.89,0.46
CARD8.AS1,845,0.18,0.1,1.3,0.68,0.34
CARM1,490,0.033,0.1,0.3,0.14,0.06
CARNMT1,457,0.197,0.1,1.4,0.82,0.42
CARS1,819,0.132,0.1,0.9,0.44,0.22
CASC3,1406,-0.229,0.1,-2.7,2.17,1.06
CASP10,812,-0.457,0.1,-3.2,2.9,1.37
CASP4,3072,-0.02,0.1,-0.2,0.06,0.03
CASP7,602,0.291,0.1,2,1.29,0.66
CASP8,1923,-0.228,0.1,-1.7,1.08,0.55
CBL,1739,-0.207,0.1,-1.6,0.96,0.49
CBX1,1222,0.139,0.1,1,0.48,0.24
CBX3,4400,0.113,0.1,1.1,0.57,0.29
CCDC107,298,0.317,0.1,2.1,1.49,0.75
CCDC12,855,0.199,0.1,1.6,0.93,0.48
CCDC124,460,0.013,0.1,0.1,0.04,0.02
CCDC186,546,-0.208,0.1,-1.4,0.79,0.4
CCDC43,308,-0.177,0.1,-1.3,0.68,0.35
CCDC47,1451,0.077,0.1,0.5,0.23,0.11
CCDC59,633,0.168,0.1,1.5,0.87,0.44
CCDC69,3578,-0.198,0.1,-1.3,0.74,0.38
CCDC82,732,-0.095,0.1,-0.9,0.43,0.22
CCDC97,803,0.271,0.1,2,1.38,0.7
CCM2,1085,-0.023,0.1,-0.2,0.09,0.04
CCNB1IP1,573,0.399,0.1,2.8,2.27,1.11
CCNDBP1,1875,0.219,0.1,2.4,1.83,0.91
CCNI,12397,0.091,0.1,0.7,0.29,0.15
CCP110,390,-0.212,0.1,-1.4,0.83,0.43
CCT3,2974,0.39,0.1,2.7,2.16,1.06
CCT5,3347,0.082,0.1,0.7,0.29,0.15
CD2BP2,1275,0.183,0.1,1.4,0.82,0.42
CD44,17461,-0.127,0.1,-0.9,0.43,0.22
CD46,4123,-0.173,0.1,-1.5,0.91,0.47
CD48,15699,0.43,0.1,3,2.52,1.21
CD53,10876,0.156,0.1,1.2,0.63,0.32
CDC123,1126,0.406,0.1,3.3,2.95,1.39
CDC26,786,0.254,0.1,1.8,1.16,0.59
CDC37,2030,-0.157,0.1,-1.5,0.91,0.47
CDC40,1183,0.098,0.1,0.7,0.32,0.16
CDC42,14814,0.195,0.1,1.5,0.89,0.46
CDC42SE1,6483,-0.06,0.1,-0.4,0.17,0.08
CDC5L,1008,0.14,0.1,1,0.53,0.27
CDIPT,822,0.103,0.1,0.8,0.35,0.18
CDK13,895,-0.004,0.1,0,0.01,0
CDK2AP2,728,0.293,0.1,2,1.35,0.68
CDK7,311,0.254,0.1,2.1,1.41,0.71
CDS2,1494,0.164,0.1,1.2,0.61,0.31
CDV3,5482,0.046,0.1,0.4,0.15,0.07
CDYL,377,-0.245,0.1,-1.7,1.06,0.55
CEBPZ,1140,0.133,0.1,1.1,0.6,0.3
CEBPZOS,656,0.239,0.1,2,1.35,0.69
CELF2,3749,-0.055,0.1,-0.5,0.2,0.09
CENPB,1376,0.065,0.1,0.5,0.21,0.1
CEP120,974,0.145,0.1,1.2,0.67,0.34
CEP57,1126,0.159,0.1,1.3,0.68,0.34
CFAP20,276,0.153,0.1,1.2,0.6,0.31
CFAP298,445,0.118,0.1,0.9,0.41,0.21
CFDP1,674,0.017,0.1,0.2,0.06,0.03
CFL1,18109,0.125,0.1,0.9,0.41,0.21
CFLAR,2843,-0.07,0.1,-0.5,0.22,0.11
CGGBP1,3717,0.131,0.1,1,0.47,0.24
CHCHD2,3353,0.278,0.1,1.9,1.28,0.65
CHCHD3,651,0.158,0.1,1.2,0.61,0.31
CHCHD4,242,0.052,0.1,0.4,0.15,0.07
CHCHD7,823,0.19,0.1,1.8,1.18,0.6
CHD1L,577,-0.083,0.1,-0.7,0.3,0.15
CHD4,2687,0.022,0.1,0.3,0.1,0.05
CHD9,703,-0.178,0.1,-1.5,0.86,0.44
CHMP1A,1102,0.11,0.1,0.9,0.4,0.2
CHMP2A,1500,-0.08,0.1,-0.6,0.24,0.11
CHMP2B,1125,0.107,0.1,0.8,0.38,0.19
CHMP3,1737,0.172,0.1,1.4,0.76,0.39
CHMP4A,1154,0.098,0.1,1,0.51,0.26
CHMP4B,2443,-0.128,0.1,-0.9,0.42,0.21
CHRAC1,857,-0.007,0.1,0,0.02,0.01
CHUK,715,0.121,0.1,1,0.47,0.24
CHURC1,2655,0.285,0.1,2.1,1.48,0.75
CIAO1,1779,-0.02,0.1,-0.2,0.07,0.03
CILK1,454,-0.029,0.1,-0.2,0.08,0.03
CINP,428,0.268,0.1,2.5,1.85,0.92
CIR1,933,-0.304,0.1,-2.3,1.69,0.85
CLASP2,718,0.001,0.1,0,0,0
CLCC1,365,0.018,0.1,0.1,0.05,0.02
CLEC2B,1585,0.09,0.1,0.6,0.28,0.14
CLINT1,2159,-0.079,0.1,-0.7,0.34,0.17
CLNS1A,2210,0.254,0.1,2.3,1.66,0.83
CLOCK,399,-0.284,0.1,-2.3,1.72,0.86
CLPTM1,1065,-0.069,0.1,-0.7,0.31,0.15
CLPX,857,0.221,0.1,1.7,1.09,0.56
CLTB,634,-0.043,0.1,-0.3,0.12,0.06
CMAS,655,-0.025,0.1,-0.2,0.09,0.04
CMTM7,900,-0.155,0.1,-1.1,0.59,0.3
CNBP,11697,0.024,0.1,0.3,0.1,0.04
CNOT1,3457,-0.028,0.1,-0.2,0.08,0.03
CNOT10,518,-0.223,0.1,-1.7,1.1,0.56
CNOT11,1042,0.171,0.1,1.4,0.76,0.39
CNOT2,1153,-0.141,0.1,-1.4,0.77,0.39
CNOT4,333,0.045,0.1,0.3,0.12,0.06
CNOT6,1225,0.163,0.1,1.2,0.65,0.33
CNOT8,3277,0.167,0.1,1.5,0.87,0.44
CNPPD1,1497,0.142,0.1,1.1,0.56,0.29
COA4,517,0.148,0.1,1.1,0.58,0.3
COASY,688,-0.305,0.1,-2.5,1.88,0.94
COG5,1225,0.044,0.1,0.3,0.11,0.05
COG7,164,-0.167,0.1,-1.3,0.69,0.35
COMMD5,292,-0.05,0.1,-0.4,0.16,0.07
COMMD7,1146,0.162,0.1,1.1,0.55,0.28
COPB1,2551,0.227,0.1,2.1,1.4,0.71
COPB2,2549,0.048,0.1,0.4,0.15,0.07
COPE,1730,0.05,0.1,0.4,0.15,0.07
COPS4,838,0.261,0.1,2,1.38,0.7
COPS5,977,0.159,0.1,1.3,0.74,0.38
COPS6,1002,0.104,0.1,1,0.52,0.26
COPZ1,2385,0.207,0.1,1.5,0.89,0.46
COQ10B,647,0.167,0.1,1.4,0.76,0.39
COQ4,241,-0.018,0.1,-0.2,0.06,0.03
COQ8A,763,-0.05,0.1,-0.4,0.14,0.07
CORO1A,14086,0.104,0.1,0.9,0.46,0.23
COX15,899,0.052,0.1,0.4,0.15,0.07
COX18,353,-0.136,0.1,-1,0.49,0.25
COX20,841,0.332,0.1,2.4,1.77,0.89
COX4I1,8669,0.205,0.1,1.4,0.78,0.4
CPNE3,2407,0.197,0.1,1.4,0.8,0.41
CPSF3,839,0.156,0.1,1.3,0.73,0.38
CPSF4,304,-0.115,0.1,-0.8,0.4,0.2
CPSF7,1653,-0.14,0.1,-1,0.47,0.24
CPT2,315,-0.016,0.1,-0.1,0.05,0.02
CRBN,1614,0.132,0.1,1.1,0.56,0.29
CRCP,502,0.015,0.1,0.1,0.04,0.02
CREB3L2,664,0.061,0.1,0.6,0.27,0.14
CREBL2,2306,0.139,0.1,1.1,0.54,0.28
CRKL,2337,0.064,0.1,0.4,0.18,0.09
CRY1,372,0.167,0.1,1.1,0.6,0.3
CRY2,401,0.08,0.1,0.5,0.23,0.11
CS,2636,-0.038,0.1,-0.4,0.14,0.07
CSDE1,12293,0.092,0.1,0.7,0.31,0.15
CSK,4834,-0.045,0.1,-0.4,0.15,0.07
CSNK1A1,3599,0.128,0.1,1.2,0.62,0.32
CSNK1D,1821,-0.356,0.1,-2.9,2.45,1.19
CSNK1G3,493,0.134,0.1,0.9,0.44,0.22
CSNK2A2,890,0.199,0.1,1.5,0.85,0.44
CSNK2B,1412,-0.024,0.1,-0.2,0.07,0.03
CSRP1,1134,-0.025,0.1,-0.2,0.06,0.03
CTBP1,2051,0.038,0.1,0.4,0.16,0.08
CTCF,1509,0.14,0.1,1,0.52,0.26
CTDNEP1,2544,0.126,0.1,1.1,0.58,0.3
CTDP1,511,-0.147,0.1,-1.2,0.67,0.34
CTDSP1,2669,-0.141,0.1,-1.1,0.6,0.3
CTNNB1,2441,-0.333,0.1,-2.5,1.96,0.97
CTNNBL1,1091,0.058,0.1,0.5,0.19,0.09
CUEDC2,530,-0.012,0.1,-0.1,0.04,0.02
CUL2,757,0.025,0.1,0.2,0.06,0.03
CUL3,1753,-0.047,0.1,-0.3,0.13,0.06
CUL4A,1612,-0.038,0.1,-0.3,0.12,0.06
CUL4B,1517,0.073,0.1,0.8,0.36,0.18
CUL5,648,-0.101,0.1,-0.7,0.32,0.16
CUTA,1156,0.452,0.1,3.3,2.95,1.39
CUTC,423,0.174,0.1,1.7,1.08,0.55
CWC15,1020,0.094,0.1,0.7,0.3,0.15
CYP20A1,392,0.175,0.1,1.3,0.72,0.37
CYRIB,4488,-0.026,0.1,-0.2,0.08,0.03
CYTH1,3914,0.025,0.1,0.2,0.08,0.03
CYTH2,546,-0.215,0.1,-1.6,0.93,0.48
DAG1,379,0.115,0.1,0.8,0.36,0.18
DAP3,2216,0.128,0.1,1.3,0.69,0.35
DAZAP1,1290,-0.059,0.1,-0.4,0.16,0.07
DAZAP2,13839,-0.039,0.1,-0.3,0.1,0.05
DBNL,3394,-0.144,0.1,-1,0.52,0.26
DCAF10,537,-0.162,0.1,-1.2,0.64,0.33
DCAF6,594,-0.179,0.1,-1.4,0.76,0.39
DCAF7,2451,0.072,0.1,0.6,0.26,0.13
DCAKD,179,0.069,0.1,0.5,0.19,0.09
DCLRE1C,530,-0.124,0.1,-0.9,0.45,0.23
DCTD,957,0.251,0.1,1.8,1.12,0.57
DCTN1,1317,0.002,0.1,0,0.01,0
DCTN2,1365,0.058,0.1,0.5,0.19,0.09
DCTN6,408,0.086,0.1,0.6,0.25,0.12
DDA1,555,0.284,0.1,2.2,1.53,0.77
DDB1,3070,0.157,0.1,1.4,0.77,0.39
DDOST,4133,0.162,0.1,1.4,0.75,0.39
DDX1,1220,0.214,0.1,1.9,1.22,0.62
DDX19A,718,-0.111,0.1,-0.8,0.37,0.18
DDX19B,652,0.043,0.1,0.4,0.16,0.08
DDX21,2809,-0.058,0.1,-0.4,0.15,0.07
DDX23,1599,-0.228,0.1,-1.7,1.07,0.55
DDX27,898,-0.024,0.1,-0.2,0.07,0.03
DDX28,345,0.343,0.1,2.8,2.32,1.13
DDX42,1746,-0.279,0.1,-2,1.38,0.7
DDX46,1710,-0.077,0.1,-0.6,0.24,0.12
DDX47,882,0.293,0.1,2.4,1.79,0.89
DDX49,357,-0.145,0.1,-1.1,0.57,0.29
DDX50,1120,0.045,0.1,0.5,0.21,0.1
DDX52,445,0.008,0.1,0.1,0.02,0.01
DDX56,490,-0.522,0.1,-3.6,3.55,1.68
DECR1,1583,0.038,0.1,0.3,0.11,0.05
DEDD,737,-0.259,0.1,-2.1,1.4,0.71
DEDD2,953,-0.059,0.1,-0.4,0.18,0.08
DEGS1,1709,0.104,0.1,0.8,0.37,0.18
DEK,4143,-0.061,0.1,-0.6,0.25,0.12
DENND4C,1094,0.083,0.1,0.7,0.29,0.14
DENND6A,890,0.095,0.1,0.9,0.42,0.21
DENR,1733,0.19,0.1,1.7,1.07,0.55
DERL1,2086,0.434,0.1,3.1,2.71,1.29
DERL2,722,0.00E+00,0.1,0.00E+00,0,0
DESI2,703,0.159,0.1,1.1,0.59,0.3
DGCR2,953,-0.192,0.1,-1.8,1.14,0.58
DGCR6L,396,0.26,0.1,1.9,1.22,0.62
DGUOK,820,0.346,0.1,2.4,1.84,0.92
DHPS,650,0.104,0.1,0.9,0.44,0.22
DHRS7,2205,0.221,0.1,1.6,1,0.51
DHX15,1969,-0.116,0.1,-1.2,0.62,0.31
DHX29,446,-0.279,0.1,-3,2.54,1.22
DHX30,645,-0.083,0.1,-0.7,0.3,0.15
DHX40,1067,0.103,0.1,0.7,0.33,0.17
DHX8,873,-0.313,0.1,-2.7,2.21,1.08
DHX9,3345,0.06,0.1,0.7,0.33,0.17
DIAPH1,6086,-0.016,0.1,-0.1,0.04,0.02
DIMT1,421,0.115,0.1,0.8,0.37,0.18
DKC1,1051,0.229,0.1,1.8,1.17,0.59
DLD,1221,0.046,0.1,0.4,0.16,0.08
DLG1,855,-0.053,0.1,-0.4,0.16,0.08
DLST,1400,-0.024,0.1,-0.3,0.1,0.05
DMAC2,456,0.219,0.1,1.5,0.85,0.44
DNAJA2,1737,0.153,0.1,1.5,0.91,0.46
DNAJB2,498,0.005,0.1,0,0.02,0.01
DNAJC17,175,-0.03,0.1,-0.2,0.08,0.04
DNAJC19,450,0.155,0.1,1,0.52,0.27
DNAJC21,840,-0.181,0.1,-1.2,0.65,0.33
DNAJC3,1527,-0.129,0.1,-1.3,0.71,0.36
DNAJC5,1719,-0.111,0.1,-0.9,0.41,0.21
DNAJC7,1628,-0.113,0.1,-0.9,0.46,0.23
DNAJC8,2701,0.152,0.1,1.8,1.14,0.58
DNTTIP2,1186,-0.048,0.1,-0.4,0.14,0.07
DOCK8,4635,-0.11,0.1,-1,0.49,0.25
DPM1,815,0.168,0.1,1.5,0.85,0.43
DPM2,242,0.132,0.1,1.1,0.55,0.28
DPP8,1215,-0.212,0.1,-1.7,1.04,0.53
DPY30,539,0.14,0.1,1.2,0.6,0.31
DRG1,978,0.334,0.1,2.3,1.69,0.85
DTD1,376,0.225,0.1,1.6,0.99,0.5
DUS1L,747,-0.307,0.1,-2.1,1.43,0.72
DUSP12,291,0.05,0.1,0.4,0.15,0.07
DYNC1I2,1545,0.004,0.1,0,0.01,0.01
DYRK1A,2060,0.047,0.1,0.5,0.21,0.1
E2F3,628,-0.047,0.1,-0.4,0.15,0.07
E2F6,216,0.06,0.1,0.4,0.18,0.09
EAF1,773,-0.182,0.1,-1.5,0.84,0.43
EAPP,1259,0.241,0.1,2.4,1.74,0.87
EBAG9,591,0.108,0.1,0.8,0.4,0.2
EBNA1BP2,586,0.098,0.1,0.8,0.4,0.2
ECD,531,0.151,0.1,1,0.53,0.27
ECH1,1474,0.19,0.1,1.4,0.78,0.4
ECHDC1,1577,-0.097,0.1,-0.7,0.33,0.17
ECI2,603,0.312,0.1,2.2,1.54,0.77
EDEM2,658,0.021,0.1,0.2,0.06,0.03
EDF1,2584,0.137,0.1,1,0.51,0.26
EEFSEC,298,0.231,0.1,1.7,1.03,0.53
EFCAB14,3331,0.166,0.1,1.2,0.61,0.31
EFL1,436,0.164,0.1,1.4,0.76,0.39
EHD4,824,-0.091,0.1,-0.8,0.36,0.18
EHMT2,580,-0.083,0.1,-0.6,0.27,0.13
EI24,567,0.113,0.1,0.9,0.43,0.22
EID1,4374,0.061,0.1,0.4,0.17,0.08
EIF1AD,367,0.047,0.1,0.3,0.14,0.06
EIF2A,2537,-0.136,0.1,-0.9,0.45,0.23
EIF2B1,951,-0.04,0.1,-0.4,0.16,0.07
EIF2B5,810,-0.148,0.1,-1.1,0.55,0.28
EIF2D,799,0.226,0.1,1.6,0.99,0.51
EIF2S2,2620,0.312,0.1,2.8,2.32,1.13
EIF3A,6069,-0.133,0.1,-1,0.5,0.25
EIF3B,2344,-0.122,0.1,-0.9,0.45,0.23
EIF3D,5080,0.191,0.1,1.6,0.92,0.47
EIF3E,15377,0.218,0.1,1.5,0.87,0.44
EIF3F,5907,0.265,0.1,2,1.29,0.66
EIF3G,4129,0.11,0.1,1,0.48,0.24
EIF3H,9123,0.124,0.1,0.9,0.46,0.23
EIF3I,3049,0.244,0.1,1.9,1.22,0.62
EIF3K,4748,0.197,0.1,1.3,0.74,0.38
EIF4A2,10194,0.193,0.1,1.5,0.84,0.43
EIF4EBP2,4701,0.027,0.1,0.2,0.07,0.03
EIF4G1,2423,-0.235,0.1,-1.9,1.21,0.62
EIF4G2,15204,0.025,0.1,0.2,0.09,0.04
EIF4H,5044,0.011,0.1,0.1,0.04,0.02
EIF5,3165,0.065,0.1,0.5,0.19,0.09
EIF5A,4627,0.264,0.1,2.2,1.54,0.78
EIF5B,1496,-0.025,0.1,-0.2,0.07,0.03
ELAC2,747,-0.219,0.1,-1.6,0.97,0.49
ELAVL1,1245,0.165,0.1,1.1,0.57,0.29
ELF2,509,-0.446,0.1,-3,2.58,1.23
ELF4,1352,-0.171,0.1,-1.1,0.6,0.3
ELK1,638,0.342,0.1,2.6,1.97,0.98
ELL,335,-0.032,0.1,-0.2,0.09,0.04
ELMO1,953,0.033,0.1,0.3,0.1,0.04
ELMO2,941,-0.037,0.1,-0.3,0.13,0.06
ELMOD2,521,0.179,0.1,1.5,0.83,0.43
ELOA,719,0.016,0.1,0.1,0.06,0.02
ELOC,784,0.171,0.1,1.2,0.64,0.33
ELOF1,712,0.199,0.1,1.7,1.02,0.52
ELOVL5,3290,0.091,0.1,0.7,0.31,0.15
ELP2,1046,-0.068,0.1,-0.5,0.22,0.1
ELP4,365,0.404,0.1,3,2.52,1.21
EMC1,789,-0.09,0.1,-0.6,0.28,0.14
EMC10,1587,0.111,0.1,0.8,0.37,0.18
EMC4,962,0.188,0.1,2.1,1.41,0.71
EMC7,957,0.2,0.1,1.5,0.84,0.43
EMC8,415,-0.101,0.1,-0.7,0.32,0.16
EMD,591,0.044,0.1,0.4,0.15,0.07
ENOPH1,802,0.251,0.1,2,1.31,0.66
ENSA,2646,0.075,0.1,0.6,0.24,0.12
EPC2,994,-0.127,0.1,-0.9,0.43,0.22
EPRS1,2197,-0.092,0.1,-0.6,0.29,0.14
EPS15,2333,0.23,0.1,2.1,1.41,0.71
EPS15L1,521,-0.062,0.1,-0.5,0.23,0.11
ERAL1,356,-0.026,0.1,-0.2,0.07,0.03
ERBIN,3232,-0.074,0.1,-0.8,0.36,0.18
ERGIC3,2588,0.112,0.1,0.8,0.38,0.19
