Gene,baseMean,log2_FoldChange,pvalue
LINC00562,3.68,-0.49,0.36233076
AC022098.1,5.76,0.22,0.445779366
PPIAP22,10.02,0.11,0.429528208
ZMIZ1-AS1,4.23,0.54,0.520880484
LINC01088,3.62,-0.28,0.38409976
TJP1,12.77,-0.06,0.420260365
AAED1,9.85,-0.07,0.418218909
ASXL2,12.61,-0.07,0.419479041
FAT1,14.11,-0.07,0.420082478
DCTPP1,9.94,0.13,0.430007379
SLC22A18AS,4.93,-0.59,0.366612503
KRT23,11.37,0.09,0.427291709
SNORA79B,5.63,0.28,0.455281181
DDAH1,11.87,-0.08,0.419129557
GID8,11.7,0.05,0.424806839
FOS,9,0.09,0.428106613
C20orf196,7.02,-0.13,0.411813418
ANPEP,4.75,0.27,0.458765212
NUDT16,11.01,0.05,0.424943485
TMEM41A,9.1,0.12,0.430469006
PITRM1,11.28,0.07,0.426279558
AC145138.1,4.24,-0.47,0.369804656
PDHA1,11,0.08,0.42655433
DRAXIN,3.95,1.06,0.716609575
STK38,12.27,0.07,0.426298448
MMP10,10.81,-0.27,0.409263378
LPP-AS2,7.65,-0.06,0.418191787
HIST1H1D,11.35,0.08,0.426432738
SIL1,10.08,0.08,0.427695996
AGO2,13.07,-0.08,0.419449053
S100A16,11.55,0.17,0.431746113
CDRT1,4.9,-0.29,0.392817979
LINC02035,9.12,-0.11,0.416264617
KIFAP3,11.29,-0.06,0.419950366
MOBP,5.56,-0.26,0.397380506
MIR3150BHG,5.07,-0.32,0.391026176
ALDOC,8.53,0.12,0.431476901
ATP6V0A1,9.85,-0.04,0.419937668
COX20,10.01,-0.1,0.417371424
HMGN4,9.26,0.06,0.426862426
AC005336.1,6.87,-0.18,0.407760782
TIMM44,9.26,0.09,0.428795823
CHCHD2P6,4.04,0.52,0.523377544
BUD13,9.86,-0.07,0.418223147
RN7SL3,12.39,0.17,0.431113503
WDR27,9.41,-0.06,0.41901515
DAPP1,11.52,-0.08,0.418695512
AL928921.2,5.34,-0.34,0.389501256
BX088651.4,3.91,-0.38,0.375101495
RFC3,8.68,-0.09,0.417221023
BRK1,12.2,0.04,0.424873557
FUBP1,12.21,0.07,0.425999631
PRPF18,8.54,-0.09,0.417134302
MIR4458HG,7.28,0.23,0.441560124
ADAMTSL4-AS1,2.32,-1.05,0.291150184
CARD8,9.28,-0.11,0.415962303
GEMIN5,9.97,-0.06,0.418836826
NEXN,3.09,-0.75,0.331207679
DNM3,8.19,-0.15,0.412906851
KRT6A,13.06,0.16,0.429901774
ST18,6.66,0.2,0.441093707
METTL17,9.01,-0.08,0.418031877
RPL29,13.89,0.04,0.424043024
AQP1,6.37,-0.21,0.404796928
HSD17B10,9.91,0.11,0.429599834
CCDC158,7.15,-0.24,0.405002113
LINC01311,3.08,0.56,0.584224606
MPHOSPH6,9.1,0.16,0.433171602
AC004951.1,3.27,-0.85,0.325387215
LHFPL2,9.3,-0.11,0.415574587
KRT18,13.34,0.08,0.426154107
TAF15,12.78,0.08,0.426310019
AC027020.2,5.47,-0.5,0.378219049
LINC02006,5.81,0.29,0.453907748
BMP15,5.78,-0.32,0.393345452
HIPK1,14.44,-0.06,0.420534471
CXXC4,10.16,-0.12,0.416357643
RAD51C,8.6,0.1,0.429524503
ZNF641,9.63,0.03,0.424458691
ZNF586,8.43,-0.17,0.411455263
FTLP14,2.77,-0.49,0.347883983
LUZP2,4.79,-0.37,0.3841789
HIST1H2AH,10.17,0.18,0.433639628
AL080317.1,5.78,-0.25,0.399078261
AC104590.1,6.96,-0.23,0.405266082
AL162151.2,4.47,-0.28,0.389847526
MSMB,10.15,-0.11,0.416893582
C15orf61,7,0.27,0.44616653
TMEM30B,11.85,-0.04,0.420392157
FERMT1,10.81,-0.12,0.416380937
SCN3A,6.31,-0.15,0.408971116
KRT16P2,3.6,-0.45,0.365239432
OLMALINC,10.28,0.09,0.427792383
ZNF510,9.6,-0.11,0.416186648
SRGAP2B,8.36,0.13,0.432387879
MAP1B,12.69,-0.06,0.419945559
SLC13A4,5.27,-0.28,0.395614258
TIMM8A,8,0.12,0.431580291
AC009502.1,5.84,-0.36,0.391608102
PIGH,8.25,0.13,0.432533643
JADE3,9.69,-0.12,0.415288727
AC134349.1,1.47,1.82,0.200602864
PLCXD2,5.91,0.38,0.464470646
CARMIL1,11.71,0.02,0.423639217
TSHZ1,10.39,0.07,0.426218183
MAP2K4,10.6,-0.04,0.42012786
ZSWIM9,8.75,0.09,0.428716139
AC079610.2,5.12,-0.49,0.377148701
RPL26P19,4.96,0.46,0.487893934
CLTCL1,7.67,0.21,0.439906068
RPL35,13.05,0.04,0.424727674
NIPA1,9.97,-0.07,0.419030242
UGT2B17,4.13,-0.44,0.371470741
MTHFD1,11.29,0.08,0.42714685
C15orf48,9.24,-0.14,0.414563882
EIF4A1,5.01,0.44,0.48282777
AL691447.2,5.81,-0.21,0.40258445
TLCD2,11.56,0.06,0.425678132
GPHN,9.45,0.13,0.431246181
NOP16,8.75,0.13,0.431041358
ZNF304,9.37,-0.14,0.413881037
HIST1H2BF,10.32,0.11,0.428558876
GINS2,7.73,0.19,0.437057933
SLC15A1,5.24,0.32,0.463580095
ADCK2,9.27,0.06,0.426014232
AC037459.3,7,-0.18,0.408024591
AC074141.1,3.64,0.49,0.527933423
STOML3,11.26,-0.08,0.418605869
SRRM2-AS1,6.42,-0.32,0.395994078
TBC1D12,9.06,-0.18,0.412025922
THTPA,7.43,-0.23,0.405845397
HLA-L,3.4,-0.71,0.338780048
HIST2H3DP1,4.58,-0.3,0.38929602
AC127502.1,4.88,-0.43,0.379625359
ERO1B,9.21,-0.16,0.412960016
AC015660.1,3.08,0.59,0.596491483
TIRAP,8.55,0.11,0.430746042
FBXO21,11.15,0.05,0.425263417
TCEAL4,10.58,0.11,0.429149965
AC232271.1,2.08,1.28,0.588045393
AC010618.3,3.48,-0.86,0.328156006
ASCC1,9.97,0.09,0.428350139
CDKL4,6.26,-0.21,0.404528749
ITGB2-AS1,4.05,-0.81,0.340620362
AC015813.6,7.33,0.1,0.431293678
CSTB,13.37,0.05,0.424826082
AC008443.5,6.15,-0.15,0.408632324
CXXC5,10.69,-0.07,0.418562515
CEP19,9.78,-0.08,0.418389575
PTPRG,10.26,-0.1,0.416765552
SCARNA6,8.1,0.34,0.449069509
AL357093.1,5.2,-0.37,0.3874467
AC011450.1,5.5,0.07,0.429474788
INPP5K,8.88,0.16,0.433443794
METAP1,11.34,0.04,0.425043345
AQP7,6.64,-0.29,0.400027171
CAMP,4.47,0.75,0.563671083
AC006511.3,3.45,0.31,0.487324508
AC006329.1,4.03,-0.54,0.361349493
RNF207,7.74,0.11,0.43110356
FAM131A,9.44,-0.1,0.41666153
ZNF354A,8.71,-0.11,0.415107087
AC051619.8,7.85,0.23,0.440107052
IL17C,3.5,-1.56,0.292951581
AC009487.2,5.25,0.31,0.461249572
ZMYND12,10.03,-0.14,0.415183634
RRAGB,8.67,0.1,0.429924139
RAD18,8.96,-0.08,0.41800648
AC093904.4,6.73,-0.19,0.406685558
AC053527.1,4.13,0.38,0.488765425
CCDC32,9.54,-0.08,0.417494236
GPD1,6.64,-0.09,0.415599504
CYP7B1,8,0.09,0.429795839
GLRX,9.4,-0.15,0.414114316
UBQLN4,10.52,0.07,0.426173326
ACOT8,8.9,0.05,0.426366815
MAMLD1,6.94,-0.23,0.405222728
ARIH2OS,4.69,-0.46,0.376190017
LINC01517,3.94,0.8,0.610693904
RAD21,12.7,0.04,0.424174352
GINM1,10.42,0.04,0.424883317
LINC01232,8.25,-0.18,0.410584358
SNX12,10.73,0.12,0.429625013
AC019205.1,6.59,0.27,0.44905113
FNBP4,10.28,-0.05,0.419870142
LTK,8.53,0.16,0.433428535
MARCH3,8.19,0.09,0.428658553
LINC02057,6.86,-0.13,0.41157043
AL135905.1,6.99,0.24,0.443325152
ASXL3,6.4,0.32,0.454052883
FGGY,9.6,0.07,0.42692401
ZSCAN4,#NUM!,#NUM!,#NUM!
AC005082.1,6.29,-0.12,0.412044448
AC010654.1,3.83,0.67,0.576521685
AC105749.1,3.69,0.38,0.49841598
NINJ1,9.66,0.13,0.430225748
AL137003.1,4.75,0.2,0.449212152
ALG1L9P,3.9,-0.47,0.367006757
HCG4,5.37,-0.3,0.393068693
HIST1H4L,10.13,0.19,0.434296499
CNOT1,14.06,-0.03,0.421695848
ZNF383,8.97,-0.12,0.415545071
GABARAP,8.97,0.09,0.428999255
EBLN2,2.43,-1,0.295607427
RTF2,10.95,0.06,0.426205172
KANSL1-AS1,4.66,0.52,0.504631057
SPCS2,10.65,0.06,0.426306656
C1orf52,8.47,-0.1,0.415551035
COL5A2,8.34,-0.08,0.417216766
OAS3,11.02,0.13,0.429981015
NUDT16P1,8.08,-0.1,0.415678861
ULBP3,5.54,0.2,0.444356658
AC018638.4,6.98,0.19,0.438701885
TMEM62,9.79,-0.07,0.418192332
AC025154.2,7.77,0.26,0.443340063
LIFR-AS1,6.8,-0.14,0.411236931
ADAMTS1,6.34,0.25,0.44672545
AC092115.3,5.51,0.46,0.480173813
CSTA,12.72,0.16,0.429787041
PLA2G10,6.07,-0.23,0.402353617
CXCL17,12.65,0.06,0.425722396
AKAP3,8.44,-0.06,0.41860361
AC100861.1,6.61,0.27,0.44897875
ZNF880,8.98,-0.09,0.417393168
ASTE1,7.57,-0.08,0.416675709
HNF4A,5.23,-0.3,0.393644178
IGHMBP2,8.87,-0.11,0.416088591
ZNF138,7.89,-0.13,0.41296861
RPL4P4,6.57,0.17,0.438424374
DUS2,8.23,0.13,0.431584637
AL365205.1,6.04,0.3,0.454449917
NHLRC3,9.63,-0.09,0.41696014
EYA1,10.1,-0.06,0.419260383
FUT2,11.31,0.05,0.42488218
INO80C,8.98,-0.1,0.415945815
LINC01133,8.77,0.09,0.42914709
PRKN,7.19,-0.06,0.418436321
SORD,11.51,0.04,0.425007825
AC016586.1,2.54,-0.93,0.303879406
CHAF1B,9.51,0.11,0.42949115
ARPC2,12.59,0.04,0.424495786
AC074194.2,2.81,0.89,0.826072561
ZCCHC2,10.49,-0.12,0.416193515
CXCL3,7.03,-0.34,0.397715435
RAN,12.59,0.03,0.423725108
AL158071.4,3.67,-0.79,0.337784643
AP001642.1,0.93,-1,0.242518024
NOD2,7.55,0.18,0.437103686
BMS1,11.82,0.05,0.425440889
TNPO3,11.63,0.04,0.424315646
GSR,12.54,0.07,0.425907999
CASP2,11.02,0.05,0.425294681
ADGRF5,4.74,-0.21,0.399164429
LINC01091,7.09,-0.24,0.404864366
AC008736.1,4.82,-0.46,0.377239516
PAPD7,10.04,-0.1,0.416638492
MYH3,4.44,-0.57,0.363390216
ZNF667-AS1,7.77,-0.17,0.411030661
ANKS1B,6.62,-0.21,0.405432723
APTR,8.44,-0.06,0.418155702
DLG3,12.19,0.03,0.423760577
AC003965.1,4.33,-0.58,0.362080148
MX1,11.2,0.08,0.42683419
PIK3R4,10.67,-0.06,0.419439706
RPL34-AS1,6.22,0.21,0.442908871
ZNF555,8.53,-0.08,0.417776605
TBC1D23,10.35,-0.09,0.417718323
BX890604.1,7.8,0.08,0.428696365
AC021054.1,8.77,0.12,0.431229692
AC139453.2,4.81,0.54,0.505116526
ROR2,6.46,0.32,0.455013803
AP001043.1,4.64,0.51,0.50482517
GRHL1,10.24,0.08,0.427232824
FKBP1B,6.08,0.26,0.450356859
TATDN2,9.13,0.2,0.436320464
ZNF805,9.16,0.14,0.431314309
RAC1,13.53,-0.03,0.421374821
CENPV,6.9,-0.24,0.40337778
TXNRD2,9.36,0.09,0.427893114
MMP13,9.72,-0.39,0.401242315
RABL2B,12.18,-0.03,0.421234108
GCA,8.96,-0.13,0.414514985
IKBKE,10.15,0.12,0.42925152
SEMA4F,7.51,0.12,0.432712039
LINC01560,5.89,0.16,0.438543487
TNFRSF19,11.74,-0.09,0.417967339
KCNQ3,7.08,-0.2,0.407225725
LAMTOR2,9.95,0.11,0.428783521
ARMC9,11.16,-0.08,0.418908882
HOPX,7.33,0.26,0.44470168
TGIF2,9.54,0.05,0.425709696
ENO2,9.31,-0.14,0.41422289
AL358852.1,3.81,0.59,0.548555546
DICER1-AS1,6.84,-0.17,0.40844973
GSS,10.71,0.03,0.423914988
CHPT1,10.02,-0.09,0.417178339
DNER,10.32,-0.06,0.419331923
CHD8,12.76,-0.05,0.420704724
EBP,10.61,0.18,0.433171262
UBR4,13.79,-0.06,0.420159451
AKR1C2,12.91,0.12,0.427813588
MYLK4,7,0.07,0.429102179
IFI44,9.05,0.17,0.433913629
SBSPON,4.35,-0.46,0.372520648
GNPDA1,9.77,0.12,0.43032734
CACUL1,12.39,-0.08,0.419275438
DSTNP2,6.72,0.18,0.438385697
TRIM31-AS1,6.3,0.31,0.454214734
NDUFV3,10.93,0.07,0.426039055
PLSCR2,4.17,0.23,0.458507683
RGL3,3.79,0.7,0.590190369
TPI1P2,6.47,0.19,0.440670109
KIF2C,9.05,0.13,0.431185355
ZBED3-AS1,4.37,0.53,0.514192945
STARD5,8.53,0.16,0.433898518
ZNF417,8.7,-0.16,0.412835597
AC084082.1,4.95,0.4,0.479318885
C6orf203,8.66,0.2,0.436155303
AC145422.1,3.94,-0.68,0.350016405
AGBL4-IT1,1.3,-1.7,0.233804458
SDC2,5.97,0.35,0.461060461
ZNF557,9.54,0.08,0.427986092
DNAJC15,9.53,0.1,0.429252338
EIF4G3,12.72,-0.04,0.42084561
MTMR9LP,6.42,0.24,0.446649345
AC104113.1,5.45,-0.42,0.383636994
DDO,7.63,-0.28,0.402933535
PARP1,12.39,0.06,0.425473096
IL1B,6.65,-0.6,0.379185913
CENPA,6.85,0.37,0.458204633
STIM2,11.88,-0.08,0.419132528
RACGAP1,10.72,0.04,0.425182871
MRPS26,10.26,0.11,0.429358312
SNORA5A,4.5,-0.59,0.363127039
LINC01515,7.54,-0.15,0.41208655
AGPAT4,9.46,-0.1,0.417071278
AGAP1,11.85,-0.07,0.418957714
AC023024.2,4,-0.48,0.367908404
SLC25A27,4.09,-0.75,0.346635853
TICRR,7.91,0.15,0.434027026
FAM220A,9.16,0.12,0.430850355
HIVEP1,11.14,-0.07,0.418725312
CAMK2G,9.79,0.04,0.425425496
FCN3,3.55,-0.54,0.355867398
AL662907.1,3.41,-0.43,0.365882836
CEP57L1,8.86,-0.19,0.411200375
PRDM4,10.34,0.04,0.424524982
ROCK1P1,4.91,-0.14,0.40635709
SCLY,5.08,0.4,0.477380316
FAM83F,11.65,0.08,0.427005783
EHBP1L1,11.76,0.09,0.427139305
HIST1H2AI,10.67,0.14,0.430431611
TSPAN2,9.56,-0.11,0.416160048
WASH5P,3.83,0.56,0.539378088
XKR8,7.6,0.23,0.441233115
HMOX1,7.53,0.15,0.434101656
ORMDL3,10.98,0.09,0.427105165
CCND2-AS1,3.28,0.87,0.723325175
AC009237.3,8.25,-0.09,0.416938052
AC016831.5,#NUM!,#NUM!,#NUM!
E2F5,8.35,-0.11,0.415691892
CBWD2,9.15,0.17,0.434222221
TMEM9B-AS1,6.92,-0.26,0.403002004
MORN5,11.72,-0.09,0.418604048
TNKS2,12.45,-0.08,0.418987116
ZNF473,9.56,-0.06,0.419468131
TFPI,10.1,-0.1,0.417417813
BTBD3,11.74,-0.1,0.418135887
SLC2A6,5.87,-0.37,0.39038709
AC021016.2,6.18,0.35,0.460304159
FBXW4P1,3.56,0.34,0.49068463
GRK7,4.97,-0.52,0.372968732
FKBP6,7.32,0.17,0.43727776
DDR2,5.75,0.33,0.460945511
WDR20,9.86,-0.04,0.420713275
VARS2,10.31,0.09,0.428164528
AL592295.4,4.88,-0.14,0.406265147
AC026691.1,6.25,0.15,0.43656096
SEMA6A-AS1,2.54,0.89,0.892108549
BTBD10,10.27,-0.05,0.42023793
TIMP2,9.19,0.11,0.429302018
NANP,8.32,0.15,0.432969001
RDH13,8.81,0.13,0.430982125
TUBA1C,11.55,0.08,0.426366069
XPC,10.69,0.05,0.425012601
HEMGN,4.41,0.3,0.469184886
SPINK5,9.98,0.2,0.434699481
TCP11L2,11.76,-0.07,0.419577962
DAB2,5.7,-0.34,0.39194985
RPS26,12.35,0.05,0.424692627
HRH1,7.71,-0.17,0.410930776
RBMS2,11.45,0.06,0.426048402
ECI2,8.36,0.1,0.429251057
LINC01708,7,-0.23,0.404851833
SRGAP2,10.82,-0.05,0.420359337
KCNAB3,5.27,0.2,0.447163367
TANGO6,8.64,0.11,0.430189181
PPCS,10.4,0.11,0.428892895
DNAJC22,9.17,0.06,0.426905153
PDGFA,8.68,0.1,0.429002239
MICA,7.6,0.15,0.434523796
VCAN,9.34,-0.1,0.41700033
HR,9.17,0.19,0.434690911
CREBL2,11.49,-0.07,0.419173775
AJUBA,10.93,0.07,0.426039371
TRMT13,8.91,-0.16,0.413058019
PTAFR,10.41,0.07,0.426210764
TMEM37,8.11,0.13,0.43172364
ZSCAN32,9.02,-0.07,0.418235949
PRDX1,13.64,0.08,0.425790287
ZNF26,8.2,0.13,0.431623604
LINC00908,8.54,-0.1,0.416044817
PCDHB4,6.61,-0.25,0.401823611
PCDHGB3,5.9,0.35,0.462314477
UPK1B,12.69,0.07,0.425563921
TTC39A-AS1,6.64,0.28,0.448613187
AC007686.3,5.73,-0.34,0.391509737
ZNF574,9.84,-0.09,0.417849423
SH3RF1,10.89,-0.08,0.418469985
AL034397.2,4.9,0.58,0.510896348
LMNB1,11.08,0.07,0.426345539
ALMS1,13.44,-0.07,0.419674981
ATP2B4,13.68,-0.03,0.421669453
ERCC-00154,4.33,-0.35,0.381836033
AC009812.1,5.41,0.34,0.464992133
GPI,12.68,0.09,0.426805257
GNS,12.63,-0.08,0.4190389
SLC15A3,6.73,0.28,0.448819998
BEX2,7.38,-0.06,0.417521075
AL137847.1,6.21,0.35,0.458680979
CCNE2,7.34,0.17,0.436667876
SERPINB10,8.41,-0.13,0.413550799
AC007406.5,8.7,-0.16,0.412834741
THSD1,5.99,-0.5,0.382028169
AC120114.2,4.56,0.25,0.457227001
RMC1,9.63,-0.07,0.418511282
AC097493.1,5.48,-0.19,0.404581349
RNF34,9.95,0.05,0.425582417
FAM189A2,6.47,-0.25,0.402493214
STMN1,11.87,0.06,0.42592666
REPS1,10.35,0.04,0.424523082
CCDC93,10.64,0.08,0.426688977
ATP5MC3,12.03,0.09,0.427037499
RNF103-CHMP3,3.9,0.66,0.566725177
ERCC-00148,4.99,-0.4,0.383535968
TADA2A,9.36,-0.07,0.418797655
ZSWIM6,10.79,-0.07,0.41930236
RYR1,9.32,0.16,0.433345109
GANC,9.56,0.07,0.426532278
PDE7B,7.31,-0.28,0.402609344
ALDH7A1,11.22,0.06,0.426118589
ARHGEF5,10.01,0.13,0.430342823
CPE,9.24,0.16,0.433005203
F12,6.88,0.15,0.435236312
TSR3,9.76,0.09,0.428076353
RPS6KA1,11.36,0.06,0.425388587
CMTR1,10.49,0.09,0.427317371
HIRIP3,9.63,0.13,0.430251607
HABP4,7.98,0.14,0.43365346
TACO1,9.45,0.08,0.427622788
GABRA3,6.28,0.12,0.434126029
GNB1L,6.1,0.33,0.456907093
GUCY1B2,4.11,0.37,0.484671577
KIAA1191,12.12,0.04,0.424568012
APOD,8.65,-0.08,0.417407537
VDR,9.75,0.1,0.428695701
MIR99AHG,7.75,-0.18,0.410313742
TRIM35,9.45,0.08,0.427621602
CCDC89,10.53,-0.09,0.417796289
CEMIP,8.27,0.12,0.431276491
CARS,11.97,-0.04,0.420414607
AC025171.4,4.95,-0.41,0.381106562
LINC00668,4.65,-0.57,0.365474383
ANKRD45,11.21,-0.06,0.419592677
CYB5A,11.85,0.06,0.425932249
RNFT2,8.88,-0.11,0.415669223
AKR7A3,4.91,0.28,0.460753933
ADNP,12.82,-0.04,0.420561915
MAP3K7CL,6.42,-0.3,0.398552133
DLGAP1,6.81,-0.3,0.398801914
FAM46C,11.08,-0.1,0.417872118
AC131953.1,3.89,-0.43,0.369886835
EID3,7.08,-0.32,0.398751813
EP400,13.39,-0.05,0.420794201
C8orf89,4.95,-0.45,0.379001082
ALDH4A1,8.62,0.21,0.437914769
RTL10,10.75,0.02,0.424087776
UNC5B,10.95,0.11,0.428926458
AK4,9.2,-0.09,0.417522868
HOMER2,10.67,-0.05,0.419970684
RRM1,11.45,0.06,0.425366805
SH3PXD2A,13.17,0.03,0.424264369
CYP2B6,7.37,0.13,0.433745332
LINC00326,5.56,-0.36,0.389046067
BNIP3,9.83,0.06,0.426615406
KCNJ2,10.18,-0.08,0.418554278
CSRP1,10.69,0.14,0.430043541
RERG,7.83,-0.15,0.411526921
SH3D21,7.13,-0.22,0.405385869
AADAC,4.27,0.6,0.532381013
EVC2,7.85,0.2,0.437625347
CROCCP3,6.03,0.35,0.461197301
PRRT2,5.32,-0.36,0.387711565
AL450992.2,6.96,0.28,0.44855321
GBP2,10.07,0.06,0.426520006
DNAH10,14.48,-0.05,0.420934029
VAPB,11.83,0.05,0.425438978
CCNB3,7.02,-0.14,0.411583829
SAXO2,13.61,-0.06,0.419847215
SLC26A9,8.21,0.13,0.431612011
SF3A3,11.41,0.07,0.42623429
PID1,5.79,0.35,0.461644696
DNAJC11,11.13,0.03,0.424563682
PREB,9.21,0.17,0.434147825
DGUOK,9.97,0.05,0.425964343
ANXA2P2,8.53,0.14,0.431977905
RPL36AL,12.24,0.07,0.425988896
RTEL1P1,#NUM!,#NUM!,#NUM!
SNHG15,7.01,0.25,0.444814205
GGACT,6.26,0.17,0.438588367
CCNY,11.58,-0.05,0.420508225
AC011603.2,5.78,0.25,0.449281937
MAPK12,5.12,0.22,0.448966681
GATB,8.97,0.14,0.431952891
SULT1A2,4.5,0.17,0.447155972
ABHD2,14.24,-0.03,0.421707853
SRMS,5.48,-0.37,0.387772517
TMPRSS3,9.98,-0.12,0.415872837
ESRRG,9.48,-0.11,0.415705524
STC1,4.96,-1.1,0.335743651
AL627309.6,4.7,0.42,0.484545606
KIF20A,10.28,0.08,0.427596478
HNRNPA2B1,14.69,0.07,0.425163335
MYBL2,8.22,0.16,0.43385742
FOXM1,9.91,0.12,0.430216625
ANXA2,15.77,0.04,0.423876152
EPB41,10.93,0.06,0.425497505
PRKD1,7.62,-0.24,0.406023144
STK4,10.84,-0.07,0.418618621
HIST1H2BO,9.38,0.17,0.43392835
KIAA1614-AS1,3.81,-0.23,0.390709531
SESN1,9.67,-0.13,0.415088904
SS18,12.54,-0.06,0.419913669
CDK19,10.43,0.04,0.42450868
RCAN3,12.78,-0.05,0.420109419
COL25A1,4.07,0.36,0.483607993
LIPH,10.82,0.03,0.424260283
ZBTB26,8.82,-0.14,0.413350464
BCKDK,9.43,0.12,0.429767513
ACAT2,11.1,0.15,0.431025667
UBXN10,13.51,-0.04,0.420667805
GSTP1,15.03,0.08,0.425496529
ANKRD7,4.23,-0.46,0.372059305
PRPSAP2,9.79,-0.07,0.418192365
BOD1,9.96,-0.09,0.417145546
MAGI1,11.64,-0.07,0.419217975
KNCN,5.34,-0.31,0.392657689
CNOT10,10.86,-0.09,0.41828885
ENTPD3,9.06,-0.07,0.418671945
AC147651.1,2.85,1.26,0.902226354
SCAF4,11.17,-0.05,0.420087427
SNORD13,9.12,-0.22,0.409372869
CC2D2A,13.52,-0.04,0.420669281
ZSCAN25,9.41,0.06,0.426794819
AC006333.2,7.79,-0.15,0.411472692
ZNF106,13.29,-0.05,0.420494677
SENP5,11.21,-0.03,0.421454772
HSH2D,6.87,-0.21,0.406564571
BTBD11,9.06,0.09,0.428933673
AQP5,10.87,0.18,0.432906624
CSTF1,10.25,0.05,0.42549568
IMPA2,9.98,0.18,0.433450117
SPIN3,8.39,0.18,0.436071987
AP001207.3,8.2,0.11,0.43061646
KDM3A,11.47,-0.08,0.41834901
HYAL3,5.17,0.49,0.490940244
HSD17B7P2,4.03,-0.32,0.384013418
SPRED3,3.83,-0.72,0.345579474
ST8SIA5,3.96,0.61,0.55040978
AL021392.1,6.94,-0.2,0.406930167
ZRSR2,8.53,-0.1,0.416037796
AC245297.1,6.67,-0.21,0.406111083
AC105219.1,4.41,0.39,0.483286642
AC010894.2,5.05,-0.58,0.369036517
GPATCH1,8.94,0.15,0.432234261
RAPGEF6,8.06,-0.21,0.408352774
WASHC2C,10.92,-0.02,0.42124554
PEAK1,12,-0.08,0.418536252
AC022306.2,4.41,0.25,0.460578691
POLR3D,9.53,0.07,0.426544919
PHACTR1,6.52,0.17,0.437921576
ABCB7,10.03,0.1,0.428524026
AVPI1,8.38,0.16,0.4345905
AGBL4,8.19,-0.1,0.41531479
RPS10,5.61,-0.2,0.404084221
EPPK1,12.68,-0.11,0.417729164
EEF1B2,12.49,0.06,0.425450166
TEPSIN,7.74,-0.09,0.416085572
TERF2IP,10.97,0.04,0.424770671
PMS2,9.64,0.09,0.427737328
FAM84A,12.14,0.08,0.426505059
ATRN,12.24,-0.02,0.421709495
YBX3,13.37,-0.05,0.420505995
AGBL3,7.98,-0.09,0.416756564
TNFSF12,5.86,0.23,0.446506557
CLMN,13.61,-0.06,0.420406869
COA1,10.16,-0.04,0.420019832
OTULIN,9.9,-0.09,0.417878799
NEIL2,9.34,-0.08,0.417788129
LINC00324,5.45,0.24,0.449762499
LINC01225,2.78,-0.6,0.33601224
RPS4X,14.09,0.04,0.424023177
VAMP4,9.06,-0.16,0.412400356
CACNA2D4,3.99,0.73,0.585607383
FABP6,9.17,0.08,0.427348505
AC011379.2,2.58,0.37,0.540645081
MSH6,11.46,0.07,0.426563731
KIAA1147,11.35,0.04,0.425041472
PGK1,12.83,0.03,0.424005633
PCCB,10.81,0.05,0.42534664
SEC61G,9.92,0.13,0.43082786
EIF4B,14.78,0.03,0.423565086
ARRDC1-AS1,7.98,0.1,0.430072992
AC006001.3,8.66,-0.19,0.410092847
FBXL2,9.24,-0.09,0.417544699
LUZP1,11.42,0.04,0.425026763
KRT14,12.14,0.15,0.430290835
TIGAR,8.55,-0.08,0.41778834
BTN2A3P,4.77,-0.51,0.37210423
C2CD4C,4.22,0.38,0.486132326
AC007878.1,2.12,0.74,0.878841645
WDR5B,9.61,-0.09,0.416949603
ZNF543,9.15,-0.09,0.416668608
FAM120A,13.49,-0.04,0.421231307
EPB41L4B,12.16,-0.08,0.418589612
TRIM16,9.86,0.09,0.42802188
RCHY1,8.89,-0.09,0.416918835
PRDX2,12.03,0.1,0.427530621
LAMTOR5,11.12,0.05,0.424920715
MTERF2,7.72,-0.1,0.415363226
ALG11,9.09,0.1,0.429581464
PMS2P5,3.85,0.68,0.576369129
TMEM191C,4.82,-0.39,0.38189887
ADHFE1,6.89,-0.11,0.413726454
ERCC6,10.85,-0.05,0.419661609
PBRM1,12.73,-0.05,0.420099601
AP002761.3,3.78,-0.85,0.334186331
EPDR1,7.72,-0.12,0.413949512
TMEM147,9.6,0.11,0.429011718
TMEM187,8.21,0.1,0.43034229
BIRC5,9.58,0.12,0.430482751
OR7E14P,8.44,-0.08,0.417280683
PTCD1,8.73,0.09,0.428279882
S100A11,14.27,0.03,0.424140553
AC087741.3,4.37,-0.37,0.381675291
DDX24,12.59,0.04,0.424495861
AC112907.3,3.07,-0.7,0.332773807
TRPT1,9.14,0.11,0.429776161
TRPV1,6.49,0.24,0.44638212
NXPH3,4.19,0.66,0.555079046
AL034417.4,4.37,-0.25,0.39227466
AC023509.4,4.85,-0.4,0.381266701
C1orf189,9.6,-0.08,0.418311369
ETFBKMT,8.77,-0.07,0.417681969
RABIF,9.23,-0.07,0.41833936
PTK6,9.44,0.07,0.427408566
DGUOK-AS1,6.18,0.21,0.444384252
DNAJC9,9.86,0.08,0.427013219
EYA2,11.56,0.07,0.426187668
E2F2,7.98,0.24,0.441643528
RAB7B,9.27,0.1,0.42944154
ALDOA.1,7.65,-0.12,0.41338671
P2RY6,4.06,-0.52,0.364889575
