Gene,baseMean,log2_FoldChange,pvalue
LYST,10.75,-0.04,0.420517816
TRIM38,10.85,0.04,0.424436946
YIPF4,11.38,-0.05,0.420135359
MIF4GD,9.1,0.04,0.425211778
PRR22,3.78,-0.2,0.396302856
NRAS,11.52,-0.04,0.420659899
CDK1,10.92,-0.06,0.419513049
PFKFB4,7.19,0.1,0.431463
PTDSS1,10.79,0.03,0.424624931
CLCA3P,3.47,0.09,0.439720518
ZNF770,11.7,-0.05,0.420204721
BPIFB1,15.26,-0.04,0.421144503
ATP6V1C2,9.41,-0.07,0.418417186
THAP2,8.36,-0.05,0.419240484
NEK6,10.17,-0.03,0.420956344
LYPLA2,11.11,0.04,0.425093504
NOL8,10.17,-0.07,0.418356795
PROM1,13.74,-0.04,0.421257492
EXOSC2,9.21,0.05,0.425821202
PEX7,8.83,-0.04,0.419627356
PDZK1IP1,9.57,0.08,0.427564985
SLC25A28,9.06,0.04,0.424793276
TBK1,10.04,-0.03,0.420553689
SFTPD,5.82,0.09,0.431186816
TBC1D22A,10.24,0.06,0.425692052
NTN1,12.74,0.04,0.42416956
GRINA,12.03,-0.06,0.419799153
ZNF507,11.1,-0.05,0.420071244
AP003064.2,4.84,0.13,0.44006538
FGF12,5.56,0.12,0.435793145
RPL7L1,12.22,0.02,0.423597836
MBNL2,11.45,-0.06,0.419324657
ALG1L5P,4.28,0.29,0.466830305
GOLT1B,9.63,-0.08,0.417542915
CDKN2B,10.04,-0.03,0.42131532
ZNF43,10.05,-0.05,0.420185506
AC087289.5,5.62,-0.2,0.404121934
RECQL5,9.69,0.03,0.424448185
PLAC8,13.62,-0.02,0.421804436
MAPK15,11.2,-0.06,0.419931199
NUS1P2,5.76,-0.14,0.409294039
AL024508.2,4.11,0.14,0.442857974
LINC01970,3.14,-0.19,0.391626791
PIK3CD,9.77,0.06,0.426241894
STXBP5,10.66,-0.03,0.420675161
CAMK1D,12.13,-0.02,0.421701094
CCDC87,7.45,-0.06,0.418074246
KCTD3,11.01,0.03,0.424583105
TMEM68,10.87,-0.05,0.420368443
DMBT1,5.15,0.07,0.431539631
NDUFAF8,8.24,0.08,0.428380739
HIST1H2BM,9.62,0.07,0.426910771
ZFP14,9.58,-0.04,0.419861683
CD164L2,10.55,-0.09,0.418164122
N4BP1,11.19,0.02,0.423340232
SURF2,9.8,-0.07,0.418972063
ZNF610,7.35,-0.07,0.417257829
RGS19,7.56,-0.1,0.415212918
JHDM1D-AS1,9.12,-0.02,0.421809991
CAND2,7.86,-0.1,0.415963762
ING5,10.01,0.03,0.424004416
DNPEP,9.98,0.05,0.425183127
SYTL1,11.8,0.03,0.424454395
MYO18A,11.4,0.03,0.423838342
SLC9A2,6.05,0.08,0.431159591
PNLIPRP3,3.84,0.23,0.461997944
ZSCAN31,9.64,0.07,0.42650331
SGPP2,12.41,-0.02,0.422031396
GPR63,5.85,0.13,0.436116621
ADAMTS15,8.22,-0.12,0.414028258
VASH1,5.96,0.13,0.43517504
CLN8,10.23,0.04,0.424546061
ITCH,12,-0.02,0.421691152
COPZ2,6.63,-0.06,0.417529548
MTRF1L,9.01,0.04,0.425669056
IL36G,8.25,-0.07,0.41737654
ATP5IF1,12.12,-0.04,0.421072498
LINC00885,5.13,-0.13,0.409506055
AC008969.1,5.66,-0.14,0.409091807
SF3B6,10.71,0.06,0.425557225
DYNLRB1,11.87,-0.03,0.421199175
AP003393.1,4.32,0.18,0.449145706
MSTO2P,3.12,0.26,0.481996798
EML4,12.34,0.02,0.423588813
JOSD1,10.47,-0.02,0.421551488
FARSB,10.4,-0.03,0.421360874
STOX2,11,0.02,0.423352205
AC106786.2,3.7,0.3,0.482571245
ZNF654,10.1,-0.06,0.418885681
AL445584.2,5.8,-0.07,0.415215429
HNRNPCP1,3.95,-0.14,0.404661502
FBL,11.8,0.04,0.424621944
BRCC3,10.45,-0.06,0.419374527
AK8,10.36,0.04,0.425272753
AC010761.1,4.5,0.23,0.45497451
EHD4,11.12,0.01,0.423517615
AGK,9.75,-0.05,0.419719092
MMAB,10.59,0.04,0.424480352
PDZD7,5.05,0.16,0.442191336
SRRD,9.04,0.06,0.426969059
AGPAT4-IT1,#NUM!,#NUM!,#NUM!
MDH1B,11.16,-0.05,0.420085665
Z83851.1,5.24,0.06,0.430197304
AL121899.1,7.75,-0.07,0.418026963
USF2,11.12,0.06,0.425799886
ABHD6,10.21,-0.03,0.420965655
MT-ND5,16.39,-0.12,0.41871506
ERICH6,5.54,0.09,0.432356221
MAP3K9,10.62,0.02,0.423741848
PIGG,10.27,0.03,0.42434769
RNGTT,9.37,-0.06,0.418597003
MIAT,3.24,-0.15,0.446785251
ZNF816,8.65,-0.06,0.418267644
IKBIP,7.76,0.11,0.431619612
SCG3,6.48,0.07,0.429649765
FBXO27,9.6,0.03,0.424871199
PHYHIP,8.78,0.06,0.426208075
SLCO3A1,9.28,0.05,0.42580143
SNW1,11.64,0.02,0.423978444
CBLL1,10.51,-0.05,0.419928347
AP001033.2,3.21,0.37,0.516333597
UBE2E2,8.48,-0.06,0.418176549
GYS2,4.09,-0.37,0.377800272
SCARNA7,8.94,-0.08,0.417580058
P2RX4,7.67,0.07,0.428018677
RNASEH1,9.15,-0.02,0.420975469
AC127521.1,5.12,-0.12,0.409105108
YIPF1,9.61,-0.04,0.420664575
AIDA,10.34,-0.03,0.421355505
SMYD4,9.63,-0.03,0.420862146
LINC01226,2.96,-0.5,0.351494648
CORO1A,5.54,0.1,0.4342317
TCEANC,7.14,0.05,0.426762278
AC051619.7,6.39,0.09,0.431680508
MOSPD3,9.15,-0.1,0.416475636
SCRIB,11.67,0.05,0.425145896
TXLNGY,8.93,-0.08,0.417577237
AC004980.1,6.65,-0.08,0.415876268
OR7E22P,7.7,0.08,0.42879442
CNTLN,10.18,-0.06,0.419286706
SRD5A1,10.59,0.02,0.424109733
AC093159.1,4.49,-0.21,0.398037039
FRAS1,9.64,-0.06,0.419106286
YPEL2,11.22,-0.02,0.421966046
ARHGAP18,12.88,-0.07,0.419839743
NAGS,5.83,-0.16,0.407640232
SPCS1,11.63,-0.03,0.421167686
AC245140.2,6.08,0.12,0.433845074
CFP,7.02,0.06,0.428246943
ACTG1P17,4.02,-0.23,0.393937323
ARID3B,7.95,0.06,0.42707553
AL162377.1,5.35,-0.16,0.406408852
MTFR2,7.07,-0.1,0.414712358
ASH1L,12.98,-0.01,0.422205808
RNF138,10.47,-0.08,0.417944811
GABRE,6.55,-0.1,0.414136713
CCDC148,9.51,-0.06,0.419451645
UPK3B,6.3,0.12,0.434086102
TRIP11,12.54,-0.05,0.42006116
RPP25L,8.6,-0.06,0.418678957
RAB9A,9.54,0.05,0.426121959
ERCC-00033,4.63,-0.18,0.401116309
RAMP1,9.11,-0.06,0.418899594
CHRNA5,6.58,0.09,0.430793914
TM7SF2,10.84,0.06,0.426245199
ZCCHC4,8.57,-0.05,0.419768904
NBEA,12.73,-0.04,0.421147248
AC000403.1,5.36,-0.28,0.394766183
KIAA0895L,7.63,-0.06,0.418181139
AC026403.1,5.16,-0.13,0.40888349
AC138392.1,4.13,0.21,0.455859689
FAM86B1,6.46,0.15,0.436126518
NT5C,9.35,0.05,0.425355521
ATRAID,11.07,0.03,0.424572309
SOCS4,11.12,-0.06,0.419568416
AC096637.2,9.45,-0.06,0.419438557
B3GALT5,8.76,0.03,0.424641046
PPP2R5D,10.63,0.04,0.424839175
GMPS,11.21,0.03,0.423858794
AC004854.2,4.26,0.19,0.450461771
POLR2J3,6.28,0.13,0.435126625
ALDH1L1,10.7,0.05,0.425010407
C6orf118,11.98,-0.02,0.422009401
CTNNAL1,10.39,0.05,0.425457927
AL391244.2,5.68,0.08,0.431726251
SGSM3,5.06,-0.09,0.412035284
ZNF614,8.47,-0.09,0.416648687
ABCA12,11.43,-0.04,0.420643661
HSD17B4,12.49,0.01,0.422804155
TMEM160,8.02,-0.07,0.417226516
CACNA1F,3.53,0.26,0.476369434
COA6,9.24,0.08,0.427318603
AC091271.1,6.29,0.09,0.431820736
PLA2G4C,2.95,-1.37,0.289596272
FUCA2,10.6,0.02,0.423743849
ATF2,10.9,-0.04,0.420547368
ZNF396,9.7,-0.08,0.417965711
TMED2,12.78,-0.01,0.421897966
PRPF40B,9.9,0.02,0.424212997
DNAJC4,9.48,-0.08,0.417859407
AC008560.1,5.58,0.18,0.443576676
NBR2,7.86,-0.09,0.416194981
FAM216B,14.48,-0.03,0.421458212
DCXR,9.33,0.06,0.425993862
DCLRE1B,8.58,0.06,0.426289838
ZNF317,10.21,-0.03,0.420965487
ELOVL7,7.97,0.08,0.428084449
AKAP8,10.11,0.05,0.425150011
SRCAP,9.06,-0.03,0.421174419
LINC00598,7.92,-0.1,0.415075964
MSL1,11.53,0.01,0.423485852
TMEM203,9.69,-0.04,0.420286426
ACACB,10.42,-0.03,0.421363466
AC084782.3,4.34,-0.3,0.387981236
SLC9A8,10.79,0.04,0.424448124
TMEM156,3.97,-0.13,0.404975542
DNAJC10,13.02,-0.04,0.420886924
LINC02453,5.81,-0.21,0.402590382
CHPF2,10.35,-0.05,0.419887641
CFAP52,12.55,-0.02,0.422038387
RUNDC1,11.17,0.02,0.42403368
EPHB6,9.48,0.08,0.427605696
SPRTN,9.92,-0.05,0.420151462
PRDM8,6.36,-0.08,0.41500924
UCP2,13.42,-0.03,0.421364669
HSPG2,13.58,-0.06,0.42040181
FAM214A,11.39,-0.04,0.420636348
VKORC1,7.32,-0.06,0.4180017
PAFAH1B3,9.79,0.05,0.426025738
LIPG,7.18,-0.15,0.411091033
ATXN7L1,10.11,-0.03,0.42056906
SLCO2A1,5.89,0.11,0.433870564
TIFA,9.36,-0.05,0.419193304
FKBP4,12,0.03,0.424101641
CCNT1,11.18,-0.04,0.420599102
GPX1P1,8.75,0.09,0.42872662
SUSD6,12.07,-0.04,0.421065624
SLC9A1,11.28,0.05,0.425233909
PHF5A,9.45,0.05,0.42615089
AC244090.1,9.1,-0.04,0.419718786
F2RL1,9.55,-0.03,0.420848681
PEX11G,8.36,0.03,0.425201824
LYRM2,11.39,-0.02,0.421639579
KRT10,9.67,0.04,0.424659527
AP003486.1,8.43,-0.05,0.418813819
CCDC74B,10.49,0.03,0.424312274
NUDCD3,11.45,0.05,0.425532335
FAM66C,6.43,0.09,0.431013959
AL355312.3,5.22,-0.09,0.412358166
AC122688.3,2.1,-0.78,0.304280786
AL691482.3,2.34,0.28,0.527997705
AC004241.1,5.2,-0.14,0.407997045
ARHGEF4,10.34,0.04,0.425279403
ODF1,4.58,0.24,0.455811269
PLXDC1,5.58,0.1,0.432710979
KRR1,11.21,-0.05,0.420099258
CEP83-AS1,4.9,-0.15,0.406737411
C11orf45,6.26,0.13,0.435807215
SNX13,11.57,-0.05,0.420506697
CCDC157,10.94,-0.05,0.420035578
PUM3,10.29,-0.04,0.420422786
DMRTA2,9.91,0.05,0.42559134
TLR3,9.27,-0.05,0.419160542
ITSN2,11.08,-0.02,0.42161145
TNFSF10,11.99,-0.05,0.42058107
RPL5P30,3.82,0.05,0.429399591
SNAI3-AS1,6.42,0.11,0.432333095
MUT,10.87,0.02,0.424072002
C16orf45,8.99,-0.04,0.4201052
WDR31,11.47,0.02,0.423660346
UBL4A,9.62,-0.06,0.419488337
ADD3,13.34,-0.04,0.420928877
LSG1,10.97,0.01,0.423529358
TGFBR1,11.14,-0.06,0.419916179
HEY2,8.55,-0.05,0.419759277
HM13,11.11,0.02,0.424041185
C1orf226,8.83,0.05,0.426401996
RPS25,13.76,0.03,0.423914541
AC011815.1,6.44,-0.1,0.413415479
MAGI3,11.65,-0.03,0.420842365
DOCK9,12.26,-0.02,0.42139851
AC126474.2,7.79,-0.05,0.418502742
FBXW4,10.15,0.04,0.424944149
ARRB1,10.54,0.03,0.424303905
ARRDC1,9.57,0.06,0.426727704
KCNH3,10.02,-0.08,0.417737186
USP46,11.13,-0.03,0.421102603
PPP1R13L,10.51,0.06,0.425613527
RSPH3,12.55,-0.03,0.421276199
AC015969.1,4.49,-0.15,0.405394711
PSMB9,9.35,-0.02,0.42142055
DUT,10.42,0.03,0.424697223
LRRC27,10.14,0.03,0.424751229
ZNF441,8.02,-0.1,0.41517327
SMARCC1,13.09,0.01,0.422797127
SRRM3,5.86,0.2,0.444672971
GLIS3-AS1,4.75,-0.23,0.397190787
MARCH5,10.68,0.04,0.424465266
AC009948.5,2.28,0.09,0.449699409
CENPBD1,9.31,0.02,0.424312163
DENND5A,9.57,0.03,0.424067904
SCGB1A1,14.33,-0.07,0.419591614
EML6,9.38,0.03,0.424922173
NAT10,10.86,0.04,0.424436233
FBXO7,11.14,0.02,0.423343251
AK3,11.02,-0.04,0.420223975
NEAT1,11.41,-0.08,0.418989676
PEX10,9.67,0.05,0.425666279
CDC20,11.29,-0.07,0.418778677
SUMO1,11.52,0.04,0.425006951
PRKCE,9.86,0.03,0.424810446
RAB5A,11.11,-0.05,0.420075869
ADSSL1,9.2,0.04,0.425608557
PLOD3,8.98,-0.05,0.419046752
ROPN1B,8.51,0.06,0.42678151
DZIP1,9.93,-0.06,0.419203384
AMN,7.86,-0.07,0.4180827
PRKAR1B,7.96,0.11,0.431362519
DNAH2,13.53,-0.03,0.421659007
SNRNP70,11.81,0.04,0.424290313
RRAGD,10.35,-0.03,0.420617593
PCF11,11.44,-0.03,0.420809236
GCHFR,9.79,0.03,0.424433281
CEP164,10.68,-0.04,0.420862702
ERCC-00046,14.46,-0.04,0.421061481
HELB,7.75,0.06,0.427197744
ACLY,12.69,0.03,0.424021938
TOR1AIP1,11.25,-0.01,0.422137755
PDCD2,10.47,0.03,0.424683655
PPP3R1,10.88,-0.07,0.418633252
CD99,11.05,0.04,0.424403966
VN1R81P,4.64,0.15,0.442957862
TTC31,8.92,-0.05,0.419878444
ZNF134,9.72,-0.04,0.420686007
SNTN,13.43,-0.07,0.419955587
HSPE1,10.75,-0.04,0.420874334
DHX34,9.06,0.04,0.425224247
RASSF4,6.15,0.1,0.431768591
